Sugu	Aasta	Kokku	0	1-4	5-9	10-14	15-19	20-24	25-29	30-34	35-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75-79	80-84	85 ja vanemad	Vanus teadmata
Naised	1997	756506	6320	28151	50536	52417	48250	47358	47490	47825	53390	52602	51041	40003	51209	44967	45401	38311	21669	16481	13085	0
Naised	1998	750075	5931	26081	47773	52700	48653	46845	47838	46329	52678	52249	51215	40651	48866	45280	45465	38969	24088	15046	13418	0
Naised	1999	742978	5761	24919	43693	52679	49556	46701	47578	45584	51483	52311	50810	43065	45335	46447	43797	39479	25872	14451	13457	0
Naised	2000	748170	5980	24590	39920	50450	49420	47760	49020	46660	51160	52840	51280	47060	43080	48670	43140	40360	28510	14080	14190	0
Naised	2001	743650	6270	24070	36750	49940	49450	47700	48320	47080	49530	52550	51790	49320	40670	48710	42330	40590	30400	14130	14050	0
Naised	2002	739210	6170	23950	34540	48490	49410	47480	47790	47820	47620	52570	51560	50180	39010	49350	42070	40620	31550	15510	13520	0
Naised	2003	735200	6480	24140	32260	46350	49650	47500	47400	48420	46260	52090	51400	50440	39780	47190	42790	40800	32160	17300	12790	0
Naised	2004	730800	6470	24790	31000	42860	49730	47920	47120	48270	45750	51040	51550	50100	42320	43880	44070	39550	32860	18850	12670	0
Naised	2005	727140	6820	25190	30210	39350	49600	48280	46610	47980	45580	49860	51400	49670	45260	40940	45500	38530	33370	20490	12500	0
Naised	2006	722770	6870	25710	29900	36220	49030	48120	46290	47080	45860	48170	51020	50110	47480	38740	45650	38130	33900	22000	12490	0
Naised	2007	718660	7120	26400	29560	33970	47540	48080	45810	46350	46410	46200	50940	49810	48370	37220	46290	38160	34180	23000	13250	0
Naised	2008	716390	7650	27100	29990	31640	45500	48450	45800	45780	46940	44850	50350	49670	48640	38040	44410	38960	34600	23780	14240	0
Naised	2009	714420	7740	28350	30610	30330	42160	48710	46130	45490	46830	44400	49370	49850	48360	40540	41470	40330	33730	24600	15420	0
Naised	2010	712490	7760	29310	31340	29540	38740	48780	46580	44920	46500	44220	48310	49660	48020	43390	38750	41820	33050	25330	16470	0
Naised	2011	709960	7700	30210	31920	29260	35660	48330	46550	44610	45760	44570	46680	49420	48500	45650	36630	42030	32870	25970	17640	0
Naised	2012	707079	7139	30808	32942	28896	33442	46718	46525	44198	45099	45247	44885	49414	48350	46709	35264	42839	33077	26539	18988	0
Naised	2013	704007	6829	30217	34152	29258	31129	44573	46902	44196	44536	45704	43639	48897	48211	47065	36027	41190	34170	26965	20347	0
Naised	2014	700900	6659	29238	35392	29823	29852	41306	47200	44580	44228	45584	43137	47982	48340	46821	38537	38477	35498	26495	21751	0
Naised	2015	698882	6668	28218	36365	30659	29083	38013	47331	45206	43838	45386	43075	46956	48243	46485	41358	35970	36944	26051	23033	0
Naised	2016	699236	6799	27606	37269	31310	29062	36274	47371	45658	43888	44874	43499	45243	47800	47047	43836	34117	37307	26198	24078	0
